;product_name;origins;pnns_groups_1;pnns_groups_2;nutriscore_score;categories_tags;image_url;additives_n;energy-kj_100g;calcium_100g;vitamin-d_100g;proteins_100g;sugars_100g;fat_100g;iron_100g;fiber_100g;sodium_100g;saturated-fat_100g;nutriscore lettre
3055;Fromage blanc nature 0 % matière grasse;;Milk and dairy products;Dairy desserts;-4.0;en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:dairy-desserts,fr:fromages-blancs,fr:fromages-blancs-natures;https://images.openfoodfacts.org/images/products/26050195/front_fr.58.400.jpg;0.0;175.8;0.12;;8.0;3.2;0.5;0.000613;0.0;0.04;0.1;A
3056;Bifidus nature - Source de Calcium;France;Milk and dairy products;Milk and yogurt;0.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:bifidus-yogurts,en:plain-bifidus-yogurts;https://images.openfoodfacts.org/images/products/26050249/front_fr.12.400.jpg;0.0;209.0;0.13;;3.7;4.1;3.5;0.0004209999999999;0.0;0.04;2.1;B
3057;Label Rouge - Emmental Français Grand Cru;Est-Centre;Milk and dairy products;Cheese;11.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cooked-pressed-cheeses,en:cow-cheeses,en:emmentaler,en:french-cheeses,en:french-emmentaler;https://images.openfoodfacts.org/images/products/26064208/front_fr.10.400.jpg;0.0;1743.0;1.055;;29.0;1.0;33.0;1.0000000000000002e-06;0.0;0.16;22.0;D
3058;Fromage Fondu et Gressins;France;Milk and dairy products;Cheese;16.0;en:snacks,en:dairies,en:fermented-foods,en:salty-snacks,en:fermented-milk-products,en:cheeses,en:melted-cheese;https://images.openfoodfacts.org/images/products/26064567/front_fr.28.400.jpg;3.0;806.4;0.2;;11.0;5.0;17.0;0.0018729999999999;0.0;0.68;11.0;D
3059;Râpé fondant Mozzarella - Emmental Spécial Gratins (24 % MG);;Milk and dairy products;Cheese;13.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-foods,en:cooked-pressed-cheeses,en:cow-cheeses,en:emmentaler,en:italian-cheeses,en:stretched-curd-cheeses,en:mozzarella,en:pasteurized-cheeses,en:grated-cheese,en:grated-emmentaler;https://images.openfoodfacts.org/images/products/26064703/front_fr.51.400.jpg;1.0;1059.6;0.642;;25.0;0.6;23.0;0.003767;0.0;0.504;16.0;D
3060;Fromage à Raclette sans croûte;;Milk and dairy products;Cheese;15.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses;https://images.openfoodfacts.org/images/products/26064710/front_fr.33.400.jpg;;1467.2;0.664;;26.0;1.0;28.0;0.002973;0.24;0.6;18.0;D
3061;Raclette 3 Variétés;;Milk and dairy products;Cheese;16.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses;https://images.openfoodfacts.org/images/products/26064741/front_fr.19.400.jpg;;1362.0;0.65;;23.0;0.5;26.0;0.000259;0.1;0.7;18.0;D
3062;Camembert de Normandie AOP, Au Lait Cru (22 % MG);Normandie,France;Milk and dairy products;Cheese;15.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-foods,en:cow-cheeses,en:soft-cheeses-with-bloomy-rind,en:camemberts,en:french-cheeses,en:unpasteurised-cheeses,en:camemberts-from-raw-milk,en:camemberts-de-normandie,en:aoc-cheeses,en:labeled-cheeses;https://images.openfoodfacts.org/images/products/26064888/front_fr.21.400.jpg;0.0;1134.8;0.000333;;20.0;0.0;22.0;0.006001;0.0;0.68;14.0;D
3063;Fromage Blanc Saveur Vanille (2,5% MG) - (8 pots) 800 g;Lactalis Nestlé Ultra Frais Marques (LNUF Marques),14100 Lisieux,Calvados,Basse-Normandie,France;Milk and dairy products;Dairy desserts;1.0;en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-foods,en:dairy-desserts,fr:fromages-blancs,fr:fromages-blancs-saveur-vanille;https://images.openfoodfacts.org/images/products/26065151/front_fr.22.400.jpg;6.0;342.2;0.12;;5.5;13.0;2.5;0.0006509999999999;0.0;0.04;1.6;B
3064;Yaourt Brassé;;Milk and dairy products;Milk and yogurt;0.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:plain-yogurts,en:stirred-yogurts,en:plain-stirred-yogurts;https://images.openfoodfacts.org/images/products/26065250/front_fr.7.400.jpg;0.0;203.2;0.12;;3.7;3.6;3.5;0.000789;0.0;0.04;2.3;B
3065;Camembert;France;Milk and dairy products;Cheese;14.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-foods,en:cow-cheeses,en:soft-cheeses-with-bloomy-rind,en:camemberts,en:french-cheeses,en:pasteurized-cheeses,en:industrial-cheese,en:pasteurized-camembert;https://images.openfoodfacts.org/images/products/26065380/front_fr.42.400.jpg;0.0;1126.0;0.5;;20.0;0.5;21.0;0.013001;0.0;0.59;15.0;D
3066;La petite faisselle d'autrefois;;Milk and dairy products;Dairy desserts;2.0;en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:dairy-desserts,en:cream-cheeses,en:faiselles;https://images.openfoodfacts.org/images/products/26065793/front_fr.18.400.jpg;0.0;287.0;0.12;;3.5;3.0;6.0;0.0005549999999999;0.0;0.04;4.0;B
3067;Fromage petit brie doux et crémeux;;Milk and dairy products;Cheese;16.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-foods,en:cow-cheeses,en:soft-cheeses-with-bloomy-rind,en:french-cheeses,en:bries,en:pasteurized-cheeses,en:industrial-cheese;https://images.openfoodfacts.org/images/products/26065830/front_fr.8.400.jpg;0.0;1212.6;0.35;;18.0;1.0;33.0;0.0062589999999999;0.1;0.72;24.0;D
3068;Fromage blanc nature 0%;France,Normandie;Milk and dairy products;Dairy desserts;-4.0;en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:dairy-desserts,en:petits-suisses,en:plain-petit-suisse,fr:fromages-blancs,en:fat-free-plain-petit-suisse;https://images.openfoodfacts.org/images/products/26065854/front_fr.123.400.jpg;0.0;169.6;0.12;;8.0;3.5;0.5;0.000613;0.0;0.04;0.5;A
3069;Fromage pour Tartiflette (27 % MG);;Milk and dairy products;Cheese;15.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-foods,en:cow-cheeses,en:french-cheeses,en:pasteurized-cheeses,en:industrial-cheese,fr:fromages-pour-tartiflette;https://images.openfoodfacts.org/images/products/26065984/front_fr.8.400.jpg;0.0;1356.0;0.52;;20.0;1.0;27.0;0.006259;0.1;0.59944;18.9;D
3070;Dessert Plaisir Soja;;unknown;unknown;3.0;fr:yaourts-saveur-vanille;https://images.openfoodfacts.org/images/products/26097923/front_fr.75.400.jpg;;145.0;0.12;;0.0;11.0;1.7;3.3e-05;0.0;0.028;0.3;C
3071;Yaourt nature Brebis;fr:lait français;Milk and dairy products;Milk and yogurt;-2.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:plain-yogurts,en:sheep-milk-yogurts;https://images.openfoodfacts.org/images/products/26099743/front_fr.33.400.jpg;0.0;281.0;0.185;;5.2;3.0;3.0;0.000773;0.0;0.04;1.8;A
3072;Just organic yogurt;Australia;Milk and dairy products;Milk and yogurt;4.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:plain-yogurts;https://images.openfoodfacts.org/images/products/26196756/front_en.6.400.jpg;0.0;252.4;0.144;;4.8;6.0;4.5;0.0004509999999999;0.1;0.228;2.7;C
3073;COMTE FORT DES ROUSSES;;Milk and dairy products;Cheese;13.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cooked-pressed-cheeses,en:french-cheeses,en:comte,fr:fromage-a-pate-presse-cuite;https://images.openfoodfacts.org/images/products/267/132/703/2807/front_fr.4.400.jpg;0.0;1750.0;0.993;;27.0;0.0;35.0;0.002973;0.0;0.36;23.0;D
3074;comte fort des rousses;France;Milk and dairy products;Cheese;13.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses;https://images.openfoodfacts.org/images/products/267/132/703/3064/front_fr.4.400.jpg;0.0;1744.0;0.993;;27.0;0.0;35.0;0.002973;0.0;0.36;23.0;D
3075;Comté;;Milk and dairy products;Cheese;13.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cooked-pressed-cheeses,en:french-cheeses,en:comte,en:aoc-cheeses,en:labeled-cheeses,fr:produits-aoc,fr:produits-labellises;https://images.openfoodfacts.org/images/products/267/133/203/2809/front_fr.5.400.jpg;0.0;1735.0;0.993;;26.7;0.0;34.6;0.002973;1.818;0.3268;22.5;D
3076;Comte;;Milk and dairy products;Cheese;13.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cooked-pressed-cheeses,en:french-cheeses,en:comte;https://images.openfoodfacts.org/images/products/267/133/903/2604/front_fr.3.400.jpg;;1744.0;0.993;;27.0;0.0;35.0;0.002973;0.0;0.36;23.0;D
3077;Fromage Fondu 24 portions;;Milk and dairy products;Cheese;18.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:pasteurized-cheeses,en:melted-cheese;https://images.openfoodfacts.org/images/products/27002469/front_fr.7.400.jpg;2.0;1221.4;0.38;;11.0;6.0;20.0;0.003361;0.12;0.84;13.0;D
3078;Lait demi-écrémé bio;Belgique;Milk and dairy products;Milk and yogurt;-1.0;en:dairies,en:milks,en:homogenized-milks,en:semi-skimmed-milks,en:uht-milks,en:organic-semi-skimmed-milks;https://images.openfoodfacts.org/images/products/27005910/front_fr.13.400.jpg;0.0;160.6;0.12;;3.5;4.8;1.6;0.0003613599999999;0.1;0.052;1.0;A
3079;lait de soja;;Beverages;Plant-based milk substitutes;-1.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:plant-based-beverages,en:milk-substitute,en:plant-milks,en:legume-milks,en:non-alcoholic-beverages,en:soy-milks,en:unsweetened-beverages,en:unsweetened-natural-soy-milks;https://images.openfoodfacts.org/images/products/27006047/front_en.46.400.jpg;2.0;134.8;0.12;;3.0;2.7;1.7;0.001005;0.2;0.052;0.3;A
3080;Milsani Yaourt entier aux fruits;;Milk and dairy products;Milk and yogurt;4.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:fruit-yogurts;https://images.openfoodfacts.org/images/products/27019917/front_fr.30.400.jpg;5.0;382.0;0.12;;3.2;15.0;2.6;0.000637;0.06;0.036;1.7;C
3081;;;Sugary snacks;Sweets;-3.0;en:desserts,en:non-dairy-desserts,en:soy-desserts,en:flavoured-soy-dessert,en:vanilla-soy-desserts;;0.0;772.6;0.12;;28.0;10.0;1.7000000476837;0.002819;0.5;0.051999998092652;0.30000001192093;A
3082;Lait au chocolat;;Beverages;Sweetened beverages;19.0;en:beverages,en:dairies,en:dairy-drinks,en:flavoured-milks,en:chocolate-milks;https://images.openfoodfacts.org/images/products/27041475/front_fr.51.400.jpg;1.0;379.0;0.12;;3.5;11.0;2.7;1.0000000000000002e-06;0.02;0.04;1.9;E
3083;Fromage frais aux fruits sucrés;;unknown;unknown;0.0;en:dairies,en:fermented-foods,en:fermented-milk-products;https://images.openfoodfacts.org/images/products/27059647/front_fr.4.400.jpg;2.0;320.4;0.25;1.5e-06;6.9;10.0;2.9;0.000959;0.5;0.04;1.9;B
3084;boisson bio à  l'avoine;;Beverages;Plant-based milk substitutes;1.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:plant-based-beverages,en:milk-substitute,en:plant-milks,en:cereal-milks,en:oat-milks;https://images.openfoodfacts.org/images/products/28004196/front_fr.15.400.jpg;0.0;142.2;0.12;;0.5;7.7;1.4;0.000775;0.8;0.04;0.3;B
3085;Le Frais Echalotte Ciboulette;;unknown;unknown;2.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:non-dairy-cheeses;https://images.openfoodfacts.org/images/products/29000357/front_fr.16.400.jpg;0.0;861.8;0.255;;8.4;0.7;15.0;0.003319;8.360000000000001;0.308;3.0;B
3086;A bicyclette à l'avoine - Myrtille;;Milk and dairy products;Milk and yogurt;-1.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:fruit-yogurts,en:blueberry-yogurts,en:fruit-yogurts-with-fruit-chunks;https://images.openfoodfacts.org/images/products/295/610/147/3693/front_fr.3.400.jpg;;335.0;0.00012;7e-10;1.2;9.0;0.8;0.002067;2.5;0.04;0.1;A
3087;Fleurs de gwozey;;Beverages;Unsweetened beverages;-10.0;en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:herbal-teas,en:hibiscus;https://images.openfoodfacts.org/images/products/300/001/306/0005/front_fr.11.400.jpg;0.0;554.2;1.602;;8.6;0.0;0.0;0.0346;9.8;0.006604;0.0;A
3088;Cranberry;Canada;Fruits and vegetables;Fruits;-10.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits;https://images.openfoodfacts.org/images/products/300/002/503/3349/front_fr.5.400.jpg;0.0;194.0;0.011;;0.75;4.04;0.13;0.00044;5.13;0.026;0.0;A
3089;GLORIA Lait Concentré Non Sucré Entier 7.5%;;Milk and dairy products;Milk and yogurt;4.0;en:canned-foods,en:dairies,en:milks,en:homogenized-milks,en:evaporated-milks,fr:laits-concentres-non-sucres,en:esl-milks,fr:laits-entiers-concentres;https://images.openfoodfacts.org/images/products/301/047/011/1127/front_fr.35.400.jpg;0.0;556.0;0.24;;6.6;9.7;7.5;0.0010149999999999;1.35850746268656;0.12;4.5;C
3090;Lait concentré non sucré 1/2 écrémé;;Milk and dairy products;Milk and yogurt;2.0;en:dairies,en:milks,en:evaporated-milks,en:semi-skimmed-milks,fr:laits-concentres-non-sucres;https://images.openfoodfacts.org/images/products/301/047/011/6276/front_fr.5.400.jpg;1.0;260.18;0.26;;6.9;12.0;4.0;1.0000000000000002e-06;0.0;0.112;2.7;B
3091;Flan Entremets saveur vanille;;Milk and dairy products;Dairy desserts;0.0;en:dairies,en:desserts,en:dairy-desserts,en:flans;https://images.openfoodfacts.org/images/products/301/136/001/0322/front_fr.31.400.jpg;3.0;152.4;0.21;;3.1;12.0;1.5;0.0004209999999999;1.0;0.0;0.5;B
3092;Flan entremets au chocolat;;Milk and dairy products;Dairy desserts;2.0;en:dairies,en:desserts,en:frozen-foods,en:dairy-desserts,en:flans;https://images.openfoodfacts.org/images/products/301/136/001/0346/front_fr.24.400.jpg;2.0;281.2;0.15;;3.6;12.0;2.0;0.0004209999999999;0.8;0.05;1.2;B
3093;P'tit Louis;;Milk and dairy products;Cheese;15.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:cheeses-for-kids;https://images.openfoodfacts.org/images/products/30154742/front_fr.20.400.jpg;;999.0;0.75;1.5e-06;5.5;3.0;22.9;0.001223;0.0;0.48;15.7;D
3094;Prince petit dej;;Sugary snacks;Biscuits and cakes;17.0;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits;https://images.openfoodfacts.org/images/products/301/776/030/6492/front_fr.67.400.jpg;4.0;1572.2;0.193;;7.1;28.0;17.0;0.0033;3.8;0.22;8.1;D
3095;Belvita Petit-Déjeuner Original;;Sugary snacks;Biscuits and cakes;9.0;en:snacks,en:sweet-snacks,en:breakfasts,en:biscuits-and-cakes,en:biscuits;https://images.openfoodfacts.org/images/products/301/776/030/7499/front_fr.72.400.jpg;6.0;1458.8;0.325;;7.8;20.0;14.0;0.005;6.8;0.392;1.5;C
3096;Belvita - Petit déjeuner pépites chocolat;;Sugary snacks;Biscuits and cakes;10.0;en:snacks,en:sweet-snacks,en:breakfasts,en:biscuits-and-cakes,en:biscuits,en:dry-biscuits;https://images.openfoodfacts.org/images/products/301/776/037/8994/front_fr.16.400.jpg;6.0;1434.0;0.267;;7.7;26.0;14.0;0.0074;6.9;0.236;3.6;C
3097;BelVita Original Petit Déjeuner pépites de chocolat;;Sugary snacks;Biscuits and cakes;7.0;en:snacks,en:sweet-snacks,en:breakfasts,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,fr:biscuits-alleges,fr:biscuits-aux-cereales,fr:biscuits-petits-dejeuners;https://images.openfoodfacts.org/images/products/301/776/047/2890/front_fr.84.400.jpg;6.0;1215.4;0.281;;8.6;16.0;14.0;0.0049;7.1;0.344;2.0;C
3098;Belvita Petit Déjeuner Coeur Fondant Goût Tout Chocolat & 5 Céréales Complètes;France;Sugary snacks;Biscuits and cakes;12.0;en:snacks,en:sweet-snacks,en:breakfasts,en:biscuits-and-cakes,en:biscuits;https://images.openfoodfacts.org/images/products/301/776/074/5697/front_fr.9.400.jpg;4.0;1925.0;0.24;;7.8;28.0;17.0;0.009;5.1;0.26416;4.6;D
3099;Ravioli 3 Fromages (Sauce Tomate);;Cereals and potatoes;Cereals;1.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:meals,en:pasta-dishes,en:pastas,en:stuffed-pastas,en:ravioli,en:canned-meals,en:pasta-stuffed-with-cheese,en:canned-raviolis,en:cheese-ravioli;https://images.openfoodfacts.org/images/products/302/169/001/1036/front_fr.8.400.jpg;3.0;342.3;0.12;;3.4;3.1;1.9;0.000645;1.7;0.28448;0.9;B
